productType,variantId,id,sku,categories,prices,tax,name.en,name.de,name.it,description.en,description.de,description.it,slug.en,slug.de,slug.it,metaTitle.en,metaDescription.en,metaKeywords.en,articleNumberManufacturer,articleNumberMax,matrixId,baseId,designer,madeInItaly,completeTheLook,commonSize,size,color,colorFreeDefinition.en,colorFreeDefinition.de,colorFreeDefinition.it,details.en,details.de,details.it,style,gender,season,isOnStock,isLook,lookProducts,seasonNew
main,1,50e8772b-8e7d-4100-b2c3-baaf62a3d4c2,M0E20000000E4W2,WOMEN>clothing>jacken,EUR 49875;EUR 32705 b2b;BE-EUR 39900;BG-EUR 39900;DK-EUR 39900;DE-EUR 39900;EE-EUR 39900;FI-EUR 39900;FR-EUR 39900;GR-EUR 39900;IE-EUR 39900;IT-EUR 39900;HR-EUR 39900;LV-EUR 39900;LT-EUR 39900;LU-EUR 39900;MT-EUR 39900;NL-EUR 39900;AT-EUR 39900;PL-EUR 39900;PT-EUR 39900;RO-EUR 39900;SE-EUR 39900;SK-EUR 39900;SI-EUR 39900;ES-EUR 39900;CZ-EUR 39900;HU-EUR 39900;GB-EUR 39900;CY-EUR 39900,standard,Trenchcoat “Raja“ Peuterey blue,Trenchcoat „Raja“ Peuterey blau,Trenchcoat “Raja“ Peuterey blu,,,,peuterey-jacket-raja-blue,peuterey-jacke-raja-blau,peuterey-giacca-raja-blu,,,,RAJA 215,80136,M0E20000000E4W2,80136,peuterey,no,,xxs,34,blue,blue,blau,blu,,,,sporty,women,s15,,,,
,2,,M0E20000000E4W3,,EUR 49875;EUR 32705 b2b;BE-EUR 39900;BG-EUR 39900;DK-EUR 39900;DE-EUR 39900;EE-EUR 39900;FI-EUR 39900;FR-EUR 39900;GR-EUR 39900;IE-EUR 39900;IT-EUR 39900;HR-EUR 39900;LV-EUR 39900;LT-EUR 39900;LU-EUR 39900;MT-EUR 39900;NL-EUR 39900;AT-EUR 39900;PL-EUR 39900;PT-EUR 39900;RO-EUR 39900;SE-EUR 39900;SK-EUR 39900;SI-EUR 39900;ES-EUR 39900;CZ-EUR 39900;HU-EUR 39900;GB-EUR 39900;CY-EUR 39900,,,,,,,,,,,,,,RAJA 215,80136,M0E20000000E4W3,80136,peuterey,no,,xxs,36,blue,blue,,,,,,sporty,women,s15,,,,
,3,,M0E20000000E4W4,,EUR 49875;EUR 32705 b2b;BE-EUR 39900;BG-EUR 39900;DK-EUR 39900;DE-EUR 39900;EE-EUR 39900;FI-EUR 39900;FR-EUR 39900;GR-EUR 39900;IE-EUR 39900;IT-EUR 39900;HR-EUR 39900;LV-EUR 39900;LT-EUR 39900;LU-EUR 39900;MT-EUR 39900;NL-EUR 39900;AT-EUR 39900;PL-EUR 39900;PT-EUR 39900;RO-EUR 39900;SE-EUR 39900;SK-EUR 39900;SI-EUR 39900;ES-EUR 39900;CZ-EUR 39900;HU-EUR 39900;GB-EUR 39900;CY-EUR 39900,,,,,,,,,,,,,,RAJA 215,80136,M0E20000000E4W4,80136,peuterey,no,,xxs,38,blue,blue,,,,,,sporty,women,s15,,,,
,4,,M0E20000000E4W5,,EUR 49875;EUR 32705 b2b;BE-EUR 39900;BG-EUR 39900;DK-EUR 39900;DE-EUR 39900;EE-EUR 39900;FI-EUR 39900;FR-EUR 39900;GR-EUR 39900;IE-EUR 39900;IT-EUR 39900;HR-EUR 39900;LV-EUR 39900;LT-EUR 39900;LU-EUR 39900;MT-EUR 39900;NL-EUR 39900;AT-EUR 39900;PL-EUR 39900;PT-EUR 39900;RO-EUR 39900;SE-EUR 39900;SK-EUR 39900;SI-EUR 39900;ES-EUR 39900;CZ-EUR 39900;HU-EUR 39900;GB-EUR 39900;CY-EUR 39900,,,,,,,,,,,,,,RAJA 215,80136,M0E20000000E4W5,80136,peuterey,no,,xs,40,blue,blue,,,,,,sporty,women,s15,true,,,
,5,,M0E20000000E4W6,,EUR 49875;EUR 32705 b2b;BE-EUR 39900;BG-EUR 39900;DK-EUR 39900;DE-EUR 39900;EE-EUR 39900;FI-EUR 39900;FR-EUR 39900;GR-EUR 39900;IE-EUR 39900;IT-EUR 39900;HR-EUR 39900;LV-EUR 39900;LT-EUR 39900;LU-EUR 39900;MT-EUR 39900;NL-EUR 39900;AT-EUR 39900;PL-EUR 39900;PT-EUR 39900;RO-EUR 39900;SE-EUR 39900;SK-EUR 39900;SI-EUR 39900;ES-EUR 39900;CZ-EUR 39900;HU-EUR 39900;GB-EUR 39900;CY-EUR 39900,,,,,,,,,,,,,,RAJA 215,80136,M0E20000000E4W6,80136,peuterey,no,,s,42,blue,blue,,,,,,sporty,women,s15,,,,
,6,,M0E20000000E4W7,,EUR 49875;EUR 32705 b2b;BE-EUR 39900;BG-EUR 39900;DK-EUR 39900;DE-EUR 39900;EE-EUR 39900;FI-EUR 39900;FR-EUR 39900;GR-EUR 39900;IE-EUR 39900;IT-EUR 39900;HR-EUR 39900;LV-EUR 39900;LT-EUR 39900;LU-EUR 39900;MT-EUR 39900;NL-EUR 39900;AT-EUR 39900;PL-EUR 39900;PT-EUR 39900;RO-EUR 39900;SE-EUR 39900;SK-EUR 39900;SI-EUR 39900;ES-EUR 39900;CZ-EUR 39900;HU-EUR 39900;GB-EUR 39900;CY-EUR 39900,,,,,,,,,,,,,,RAJA 215,80136,M0E20000000E4W7,80136,peuterey,no,,m,44,blue,blue,,,,,,sporty,women,s15,true,,,
,7,,M0E20000000E4W8,,EUR 49875;EUR 32705 b2b;BE-EUR 39900;BG-EUR 39900;DK-EUR 39900;DE-EUR 39900;EE-EUR 39900;FI-EUR 39900;FR-EUR 39900;GR-EUR 39900;IE-EUR 39900;IT-EUR 39900;HR-EUR 39900;LV-EUR 39900;LT-EUR 39900;LU-EUR 39900;MT-EUR 39900;NL-EUR 39900;AT-EUR 39900;PL-EUR 39900;PT-EUR 39900;RO-EUR 39900;SE-EUR 39900;SK-EUR 39900;SI-EUR 39900;ES-EUR 39900;CZ-EUR 39900;HU-EUR 39900;GB-EUR 39900;CY-EUR 39900,,,,,,,,,,,,,,RAJA 215,80136,M0E20000000E4W8,80136,peuterey,no,,l,46,blue,blue,,,,,,sporty,women,s15,true,,,
,8,,M0E20000000E4W9,,EUR 49875;EUR 32705 b2b;BE-EUR 39900;BG-EUR 39900;DK-EUR 39900;DE-EUR 39900;EE-EUR 39900;FI-EUR 39900;FR-EUR 39900;GR-EUR 39900;IE-EUR 39900;IT-EUR 39900;HR-EUR 39900;LV-EUR 39900;LT-EUR 39900;LU-EUR 39900;MT-EUR 39900;NL-EUR 39900;AT-EUR 39900;PL-EUR 39900;PT-EUR 39900;RO-EUR 39900;SE-EUR 39900;SK-EUR 39900;SI-EUR 39900;ES-EUR 39900;CZ-EUR 39900;HU-EUR 39900;GB-EUR 39900;CY-EUR 39900,,,,,,,,,,,,,,RAJA 215,80136,M0E20000000E4W9,80136,peuterey,no,,xl,48,blue,blue,,,,,,sporty,women,s15,,,,
,9,,M0E20000000E4WA,,EUR 49875;EUR 32705 b2b;BE-EUR 39900;BG-EUR 39900;DK-EUR 39900;DE-EUR 39900;EE-EUR 39900;FI-EUR 39900;FR-EUR 39900;GR-EUR 39900;IE-EUR 39900;IT-EUR 39900;HR-EUR 39900;LV-EUR 39900;LT-EUR 39900;LU-EUR 39900;MT-EUR 39900;NL-EUR 39900;AT-EUR 39900;PL-EUR 39900;PT-EUR 39900;RO-EUR 39900;SE-EUR 39900;SK-EUR 39900;SI-EUR 39900;ES-EUR 39900;CZ-EUR 39900;HU-EUR 39900;GB-EUR 39900;CY-EUR 39900,,,,,,,,,,,,,,RAJA 215,80136,M0E20000000E4WA,80136,peuterey,no,,xxl,50,blue,blue,,,,,,sporty,women,s15,,,,
,10,,M0E20000000E4WB,,EUR 49875;EUR 32705 b2b;BE-EUR 39900;BG-EUR 39900;DK-EUR 39900;DE-EUR 39900;EE-EUR 39900;FI-EUR 39900;FR-EUR 39900;GR-EUR 39900;IE-EUR 39900;IT-EUR 39900;HR-EUR 39900;LV-EUR 39900;LT-EUR 39900;LU-EUR 39900;MT-EUR 39900;NL-EUR 39900;AT-EUR 39900;PL-EUR 39900;PT-EUR 39900;RO-EUR 39900;SE-EUR 39900;SK-EUR 39900;SI-EUR 39900;ES-EUR 39900;CZ-EUR 39900;HU-EUR 39900;GB-EUR 39900;CY-EUR 39900,,,,,,,,,,,,,,RAJA 215,80136,M0E20000000E4WB,80136,peuterey,no,,xxxl,52,blue,blue,,,,,,sporty,women,s15,,,,
